delegate,voting_power
0x25cc275cfe3cce1700e816e00d4cd1f60872038a,49727.854903900945
0x73ec846a8f5db59d5c22ac2febb6879d8810b07d,46224.15418716796
0xc420c9d507d0e038bd76383aaadcad576ed0073c,44675.64665134931
0xf7253a0e87e39d2cd6365919d4a3d56d431d0041,43886.53466276803
0x1372eda77df5a048db8af4db3d8680ff56388824,43222.23792554311
0x713a95b5923faee8dc32593ff9c0a30a3818d978,42023.047489919976
0xe48ac0deeb484f7df6d1ca554dc9bf517a0a597c,40727.29291986024
0xe943ca883ef3294e0fc55a1a14591abead1b5927,40065.50532597943
0x000ee9a6bcec9aadcc883bd52b2c9a75fb098991,40015.364913318524
0x93177ac28ce5fd1878bd940081ba8d0d7ba3682c,40000.0
0x6fc69da059944b4895d65f385b9a26b1285cab88,39864.793012282295
0x0f9457824adb0649f57b91f21fcaf598b7ed9230,39767.941193381565
0x0b99c69c2d7a71fb372acf2756e315a18e5150b1,39653.22081156134
0xfc61965861b679c5aa728d41fa6ea0b29544f554,38541.62604727094
0x7110d94153ccbf0a6f9d11527648549516b4c809,38215.31681364037
0x66d9640783719c13d6a106924000bc6153661a97,38102.37010099177
0x049569adb8a1e8a9349e9f1111c7b7993a4612eb,37849.6371203083
0x65a3870f48b5237f27f674ec42ea1e017e111d63,37137.0885533862
0x831a97e402955efb4c72e96b80490a4e45a1d02c,36035.78057540086
0x56c246b01fbd17695a8579e8b3f0e4f7a1e9ccfc,35871.76721910836
0x66d071a20d7942767739bbca130e08e4848d12bc,35703.03281461416
0x512b55b00d744fc2edb8474f223a7498c3e5a7ce,35566.156315924054
0x1b7a0da1d9c63d9b8209fa5ce98ac0d148960800,33442.05118132631
0xf68d2bfcecd7895bba05a7451dd09a1749026454,33429.65999448073
0x523d007855b3543797e0d3d462cb44b601274819,31100.30635233141
0x87193692098aca17688742a9bffd577a6b52f492,30963.788401574326
0x0b846d075512953b1764b9f78af1e268923de6da,30276.842830545716
0xc3d7f926e57ff06e465823b100b95408e805dfa2,30243.831329640812
0xfdbab5e7404bc92a33245651b1d1828d3beb7c21,30182.921492436773
0x20de675ba8f5a181008ca469a46f88ba47da0c8c,30120.34379731707
0xf0dbde527c63b63178576578777f0b7e24755abb,30062.58486083077
0xaa3600788b72863ff51c8f0db5f10bb65fbfeab4,30028.339618048158
0x24597c5c68687e816ffc0c69e064cb70bb62a9cd,30000.592586623334
0x1eb33fc537c04b18e42d1cdd04593770f9d5ad01,30000.0
0x3b569178ceae9e3345feda5fc2b21cda0dc4936d,27900.25774291
0x035ebd096afa6b98372494c7f08f3402324117d3,27579.232890081043
0x70d95a4e6f514149af97de9a107d12bf1cf57169,27286.976011000643
0x69e271483c38ed4902a55c3ea8aab9e7cc8617e5,26175.432530211114
